customer_id,signup_date,region,industry,company_size,segment,acquisition_channel,plan,price_usd_month
C0001,2023-09-11,North America,Healthcare,11-50,Mid-Market,Outbound,Basic,50
C0002,2024-08-09,LATAM,Retail,1-10,SMB,Outbound,Pro,200
C0003,2024-02-26,Europe,Finance,1-10,SMB,Organic,Basic,50
C0004,2023-09-15,Europe,Education,1-10,SMB,Organic,Basic,50
C0005,2023-08-11,APAC,Retail,201-1000,Mid-Market,Referral,Basic,50
C0006,2023-06-21,Europe,Manufacturing,51-200,Mid-Market,Paid,Pro,200
C0007,2025-02-04,Europe,Retail,1-10,Enterprise,Organic,Enterprise,1000
C0008,2023-09-30,APAC,Retail,1-10,SMB,Referral,Basic,50
C0009,2024-09-09,North America,Education,51-200,SMB,Paid,Basic,50
C0010,2024-01-01,North America,Manufacturing,1-10,SMB,Outbound,Basic,50
C0011,2024-04-26,Europe,Healthcare,11-50,SMB,Organic,Pro,200
C0012,2024-09-01,North America,Healthcare,1000+,SMB,Paid,Basic,50
C0013,2023-08-27,Europe,Retail,11-50,SMB,Paid,Basic,50
C0014,2024-06-07,Europe,Manufacturing,51-200,SMB,Events,Basic,50
C0015,2023-09-08,APAC,Manufacturing,1000+,Mid-Market,Paid,Pro,200
C0016,2025-03-25,APAC,Education,11-50,SMB,Referral,Basic,50
C0017,2023-10-09,LATAM,Finance,1-10,SMB,Organic,Basic,50
C0018,2025-03-23,APAC,Healthcare,11-50,Mid-Market,Events,Pro,200
C0019,2024-04-04,APAC,Education,201-1000,Mid-Market,Paid,Pro,200
C0020,2024-05-09,North America,SaaS,201-1000,SMB,Organic,Basic,50
C0021,2024-10-04,Europe,Healthcare,51-200,Mid-Market,Referral,Pro,200
C0022,2024-07-18,Europe,Education,1-10,Mid-Market,Organic,Basic,50
C0023,2024-06-20,North America,Healthcare,51-200,SMB,Organic,Basic,50
C0024,2023-12-09,Europe,Finance,201-1000,SMB,Events,Basic,50
C0025,2024-03-03,Europe,SaaS,51-200,Enterprise,Paid,Enterprise,1000
C0026,2023-11-08,LATAM,Finance,201-1000,SMB,Referral,Basic,50
